tic,datadate,ajexdi,cshoc,prccd,trfd,gvkey
MSTR,2021-01-04,10.0,7253000,425.22,,111534
MSTR,2021-01-05,10.0,7253000,428.63,,111534
MSTR,2021-01-06,10.0,7253000,480.55,,111534
MSTR,2021-01-07,10.0,7253000,535.75,,111534
MSTR,2021-01-08,10.0,7253000,531.64,,111534
MSTR,2021-01-11,10.0,7253000,495.49,,111534
MSTR,2021-01-12,10.0,7253000,514.24,,111534
MSTR,2021-01-13,10.0,7253000,519.26,,111534
MSTR,2021-01-14,10.0,7253000,631.0,,111534
MSTR,2021-01-15,10.0,7253000,578.07,,111534
MSTR,2021-01-19,10.0,7253000,592.21,,111534
MSTR,2021-01-20,10.0,7253000,550.82,,111534
MSTR,2021-01-21,10.0,7253000,520.46,,111534
MSTR,2021-01-22,10.0,7253000,577.03,,111534
MSTR,2021-01-25,10.0,7253000,571.42,,111534
MSTR,2021-01-26,10.0,7253000,559.81,,111534
MSTR,2021-01-27,10.0,7253000,540.1,,111534
MSTR,2021-01-28,10.0,7253000,578.375,,111534
MSTR,2021-01-29,10.0,7623000,617.31,,111534
MSTR,2021-02-01,10.0,7623000,634.56,,111534
MSTR,2021-02-02,10.0,7623000,687.92,,111534
MSTR,2021-02-03,10.0,7623000,741.19,,111534
MSTR,2021-02-04,10.0,7623000,765.59,,111534
MSTR,2021-02-05,10.0,7623000,806.0,,111534
MSTR,2021-02-08,10.0,7623000,1041.0,,111534
MSTR,2021-02-09,10.0,7623000,1272.94,,111534
MSTR,2021-02-10,10.0,7623000,974.48,,111534
MSTR,2021-02-11,10.0,7623000,1009.94,,111534
MSTR,2021-02-12,10.0,7623000,1034.31,,111534
MSTR,2021-02-16,10.0,7623000,955.0,,111534
MSTR,2021-02-17,10.0,7623000,941.8,,111534
MSTR,2021-02-18,10.0,7623000,927.78,,111534
MSTR,2021-02-19,10.0,7623000,963.72,,111534
MSTR,2021-02-22,10.0,7623000,876.0,,111534
MSTR,2021-02-23,10.0,7623000,691.23,,111534
MSTR,2021-02-24,10.0,7623000,817.69,,111534
MSTR,2021-02-25,10.0,7623000,731.61,,111534
MSTR,2021-02-26,10.0,7623000,750.41,,111534
MSTR,2021-03-01,10.0,7623000,782.44,,111534
MSTR,2021-03-02,10.0,7623000,748.5,,111534
MSTR,2021-03-03,10.0,7623000,731.57,,111534
MSTR,2021-03-04,10.0,7623000,645.66,,111534
MSTR,2021-03-05,10.0,7623000,620.24,,111534
MSTR,2021-03-08,10.0,7623000,624.19,,111534
MSTR,2021-03-09,10.0,7623000,715.99,,111534
MSTR,2021-03-10,10.0,7623000,756.55,,111534
MSTR,2021-03-11,10.0,7623000,803.75,,111534
MSTR,2021-03-12,10.0,7623000,784.0,,111534
MSTR,2021-03-15,10.0,7623000,769.01,,111534
MSTR,2021-03-16,10.0,7623000,724.29,,111534
MSTR,2021-03-17,10.0,7623000,770.99,,111534
MSTR,2021-03-18,10.0,7623000,732.05,,111534
MSTR,2021-03-19,10.0,7623000,777.04,,111534
MSTR,2021-03-22,10.0,7623000,724.56,,111534
MSTR,2021-03-23,10.0,7623000,677.21,,111534
MSTR,2021-03-24,10.0,7623000,621.57,,111534
MSTR,2021-03-25,10.0,7623000,620.91,,111534
MSTR,2021-03-26,10.0,7623000,624.0,,111534
MSTR,2021-03-29,10.0,7623000,631.34,,111534
MSTR,2021-03-30,10.0,7623000,653.98,,111534
MSTR,2021-03-31,10.0,7623000,678.8,,111534
MSTR,2021-04-01,10.0,7623000,703.56,,111534
MSTR,2021-04-05,10.0,7623000,720.55,,111534
MSTR,2021-04-06,10.0,7623000,704.58,,111534
MSTR,2021-04-07,10.0,7623000,656.2,,111534
MSTR,2021-04-08,10.0,7623000,690.12,,111534
